Data Inclusão,Hora Inclusão,Data Evento,Hora Evento,IMEI,Sequência,Tipo Mensagem,Máscara,Tipo Dispositivo,Versão Protocolo,Versão Firmware,Bateria Interna,Alimentação Externa,Analog Input Mode,Analog Input1 Voltage,Digital Input Status,Digital Output Status,Motion Status,Satélites,Duração da Ignição,Precisão GNSS,Velocidade,Azimuth,Altitude,Latitude,Longitude,GNSS UTC Time,MCC,MNC,LAC,Cell ID,Hodômetro Atual,Hodômetro Total,Horímetro Atual,Horímetro Total,Motivo Power Off,Motivo Power OnDiferença dos tempos de FRI
10/03/2025,09:06:32,10/03/2025,12:06:33,8674886293973,0x2c04,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,87,-,0000,-,00,00,1a,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a71434,0x000000,0x0000000000,0x000000,0x000000000000,-,-
10/03/2025,09:06:42,10/03/2025,12:06:43,8674886293973,0x2c05,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,87,-,0000,-,00,00,1a,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a71434,0x000000,0x0000000000,0x000000,0x000000000000,-,-
10/03/2025,09:06:52,10/03/2025,12:06:53,8674886293973,0x2c06,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,87,-,0000,-,00,00,1a,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a71434,0x000000,0x0000000000,0x000000,0x000000000000,-,-
10/03/2025,09:07:02,10/03/2025,12:07:03,8674886293973,0x2c07,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,87,-,0000,-,00,00,1a,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a71434,0x000000,0x0000000000,0x000000,0x000000000000,-,-
10/03/2025,09:07:12,10/03/2025,12:07:13,8674886293973,0x2c08,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,87,-,0000,-,00,00,1a,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a71434,0x000000,0x0000000000,0x000000,0x000000000000,-,-
10/03/2025,09:07:22,10/03/2025,12:07:23,8674886293973,0x2c09,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,87,-,0000,-,00,00,16,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a71434,0x000000,0x0000000000,0x000000,0x000000000000,-,-
10/03/2025,09:07:32,10/03/2025,12:07:33,8674886293973,0x2c0a,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,88,-,0000,-,00,00,16,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a71434,0x000000,0x0000000000,0x000000,0x000000000000,-,-
10/03/2025,09:07:42,10/03/2025,12:07:43,8674886293973,0x2c0b,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,88,-,0000,-,00,00,16,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a71434,0x000000,0x0000000000,0x000000,0x000000000000,-,-
10/03/2025,09:07:52,10/03/2025,12:07:53,8674886293973,0x2c0c,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,88,-,0000,-,00,00,16,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a71434,0x000000,0x0000000000,0x000000,0x000000000000,-,-
10/03/2025,09:07:57,& "C:/Users/Larissa Rocha/AppData/Local/Programs/Python/Python313/python.exe" "c:/Users/Larissa Rocha/Documents/GitHub/Decoder/decoder/RSPMessages.py"
10/03/2025,09:08:02,10/03/2025,12:08:03,8674886293973,0x2c0d,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,88,-,0000,-,00,00,16,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a71434,0x000000,0x0000000000,0x000000,0x000000000000,-,-
