Data Inclusão,Hora Inclusão,Data Evento,Hora Evento,IMEI,Sequência,Tipo Mensagem,Máscara,Tipo Dispositivo,Versão Protocolo,Versão Firmware,Bateria Interna,Alimentação Externa,Analog Input Mode,Analog Input1 Voltage,Digital Input Status,Digital Output Status,Motion Status,Satélites, Report type, Duração da Ignição,Precisão GNSS,Velocidade,Azimuth,Altitude,Latitude,Longitude,GNSS UTC Time,MCC,MNC,LAC,Cell ID,Hodômetro Atual,Hodômetro Total,Horímetro Atual,Horímetro Total,Motivo Power Off,Motivo Power On, Diferença dos tempos a partir do IGN, Diferença de tempos a partir do IGF, Time fix, 1-wire, ble, RAT, Band
24/04/2025,07:52:10,23/04/2025,17:56:12,8674886293973,0x57be,GTERI,0x09fe3fbf,802003,0x0902,0x0915,0,11452,0001,-,01,00,22,12,-,-,01,0.0,010a,0x024a,-23.329979,-51.177734,07e9041714380b,0724,0006,c4a7,07a7140c,0x0.1,0x20.4,0x0:00:00,0x0:00:00,-,-, -, -, 2025-04-23 20:56:11
24/04/2025,07:52:10,23/04/2025,17:56:27,8674886293973,0x57bf,GTERI,0x09fe3fbf,802003,0x0902,0x0915,0,11442,0001,-,01,00,21,12,-,-,01,0.0,010a,0x024a,-23.329979,-51.177734,07e9041714381a,0724,0006,c4a7,07a7140c,0x0.1,0x20.4,0x0:00:00,0x0:00:00,-,-, -, -, 2025-04-23 20:56:26
24/04/2025,07:52:11,23/04/2025,17:56:42,8674886293973,0x57c0,GTERI,0x09fe3fbf,802003,0x0902,0x0915,0,11510,0001,-,01,00,22,12,-,-,01,0.0,010a,0x024a,-23.329979,-51.177734,07e90417143829,0724,0006,c4a7,07a7140c,0x0.1,0x20.4,0x0:00:00,0x0:00:00,-,-, -, -, 2025-04-23 20:56:41
24/04/2025,07:52:11,23/04/2025,17:56:57,8674886293973,0x57c1,GTERI,0x09fe3fbf,802003,0x0902,0x0915,0,11450,0001,-,01,00,22,12,-,-,01,0.0,010a,0x024a,-23.329979,-51.177734,07e90417143838,0724,0006,c4a7,07a7140c,0x0.1,0x20.4,0x0:00:00,0x0:00:00,-,-, -, -, 2025-04-23 20:56:56
24/04/2025,07:52:12,23/04/2025,17:57:12,8674886293973,0x57c2,GTERI,0x09fe3fbf,802003,0x0902,0x0915,0,11507,0001,-,01,00,22,12,-,-,01,0.0,010a,0x024a,-23.329979,-51.177734,07e9041714390b,0724,0006,c4a7,07a7140c,0x0.1,0x20.4,0x0:00:00,0x0:00:00,-,-, -, -, 2025-04-23 20:57:11
24/04/2025,07:52:12,23/04/2025,17:57:27,8674886293973,0x57c3,GTERI,0x09fe3fbf,802003,0x0902,0x0915,0,11511,0001,-,01,00,21,12,-,-,01,0.0,010a,0x024a,-23.329979,-51.177734,07e9041714391a,0724,0006,c4a7,07a7140c,0x0.1,0x20.4,0x0:00:00,0x0:00:00,-,-, -, -, 2025-04-23 20:57:26
24/04/2025,07:52:13,23/04/2025,17:57:42,8674886293973,0x57c4,GTERI,0x09fe3fbf,802003,0x0902,0x0915,0,11500,0001,-,01,00,22,12,-,-,01,0.0,010a,0x024a,-23.329979,-51.177734,07e90417143929,0724,0006,c4a7,07a7140c,0x0.1,0x20.4,0x0:00:00,0x0:00:00,-,-, -, -, 2025-04-23 20:57:41
24/04/2025,07:52:13,23/04/2025,17:57:57,8674886293973,0x57c5,GTERI,0x09fe3fbf,802003,0x0902,0x0915,0,11446,0001,-,01,00,22,12,-,-,01,0.0,010a,0x024a,-23.329979,-51.177734,07e90417143938,0724,0006,c4a7,07a7140c,0x0.1,0x20.4,0x0:00:00,0x0:00:00,-,-, -, -, 2025-04-23 20:57:56
24/04/2025,07:52:14,23/04/2025,17:58:12,8674886293973,0x57c7,GTERI,0x09fe3fbf,802003,0x0902,0x0915,0,11446,0001,-,01,00,22,12,-,-,01,0.0,010a,0x024a,-23.329979,-51.177734,07e90417143a0b,0724,0006,c4a7,07a7140c,0x0.1,0x20.4,0x0:00:00,0x0:00:00,-,-, -, -, 2025-04-23 20:58:11
24/04/2025,07:52:14,23/04/2025,17:58:27,8674886293973,0x57c9,GTERI,0x09fe3fbf,802003,0x0902,0x0915,0,11446,0001,-,01,00,22,12,-,-,01,0.0,010a,0x024a,-23.329979,-51.177734,07e90417143a1a,0724,0006,c4a7,07a7140c,0x0.1,0x20.4,0x0:00:00,0x0:00:00,-,-, -, -, 2025-04-23 20:58:26
24/04/2025,07:52:15,23/04/2025,17:58:42,8674886293973,0x57ca,GTERI,0x09fe3fbf,802003,0x0902,0x0915,0,11473,0001,-,01,00,22,12,-,-,01,0.0,010a,0x024a,-23.329979,-51.177734,07e90417143a29,0724,0006,c4a7,07a7140c,0x0.1,0x20.4,0x0:00:00,0x0:00:00,-,-, -, -, 2025-04-23 20:58:41
24/04/2025,07:52:15,23/04/2025,17:58:57,8674886293973,0x57cb,GTERI,0x09fe3fbf,802003,0x0902,0x0915,0,11469,0001,-,01,00,21,12,-,-,01,0.0,010a,0x024a,-23.329979,-51.177734,07e90417143a38,0724,0006,c4a7,07a7140c,0x0.1,0x20.4,0x0:00:00,0x0:00:00,-,-, -, -, 2025-04-23 20:58:56
24/04/2025,07:52:16,23/04/2025,17:59:12,8674886293973,0x57cc,GTERI,0x09fe3fbf,802003,0x0902,0x0915,0,11435,0001,-,01,00,21,12,-,-,01,0.0,010a,0x024a,-23.329979,-51.177734,07e90417143b0b,0724,0006,c4a7,07a71434,0x0.1,0x20.4,0x0:00:00,0x0:00:00,-,-, -, -, 2025-04-23 20:59:11
24/04/2025,07:52:16,23/04/2025,17:59:27,8674886293973,0x57cd,GTERI,0x09fe3fbf,802003,0x0902,0x0915,0,11522,0001,-,01,00,21,12,-,-,01,0.0,010a,0x024a,-23.329979,-51.177734,07e90417143b1a,0724,0006,c4a7,07a7140c,0x0.1,0x20.4,0x0:00:00,0x0:00:00,-,-, -, -, 2025-04-23 20:59:26
24/04/2025,07:52:17,23/04/2025,17:59:42,8674886293973,0x57ce,GTERI,0x09fe3fbf,802003,0x0902,0x0915,0,11473,0001,-,01,00,21,12,-,-,01,0.0,010a,0x024a,-23.329979,-51.177734,07e90417143b29,0724,0006,c4a7,07a7140c,0x0.1,0x20.4,0x0:00:00,0x0:00:00,-,-, -, -, 2025-04-23 20:59:41
24/04/2025,07:52:17,23/04/2025,17:59:57,8674886293973,0x57cf,GTERI,0x09fe3fbf,802003,0x0902,0x0915,0,11473,0001,-,01,00,21,12,-,-,01,0.0,010a,0x024a,-23.329979,-51.177734,07e90417143b38,0724,0006,c4a7,07a7140c,0x0.1,0x20.4,0x0:00:00,0x0:00:00,-,-, -, -, 2025-04-23 20:59:56
24/04/2025,07:52:18,23/04/2025,18:00:12,8674886293973,0x57d0,GTERI,0x09fe3fbf,802003,0x0902,0x0915,0,11473,0001,-,01,00,21,12,-,-,01,0.0,010a,0x024a,-23.329979,-51.177734,07e9041715000b,0724,0006,c4a7,07a7140c,0x0.1,0x20.4,0x0:00:00,0x0:00:00,-,-, -, -, 2025-04-23 21:00:11
24/04/2025,07:52:18,23/04/2025,18:00:27,8674886293973,0x57d1,GTERI,0x09fe3fbf,802003,0x0902,0x0915,0,11473,0001,-,01,00,21,12,-,-,01,0.0,010a,0x024a,-23.329979,-51.177734,07e9041715001a,0724,0006,c4a7,07a7140c,0x0.1,0x20.4,0x0:00:00,0x0:00:00,-,-, -, -, 2025-04-23 21:00:26
24/04/2025,07:52:19,23/04/2025,18:00:42,8674886293973,0x57d2,GTERI,0x09fe3fbf,802003,0x0902,0x0915,0,11410,0001,-,01,00,21,12,-,-,01,0.0,010a,0x024a,-23.329979,-51.177734,07e90417150029,0724,0006,c4a7,07a7140c,0x0.1,0x20.4,0x0:00:00,0x0:00:00,-,-, -, -, 2025-04-23 21:00:41
24/04/2025,07:52:19,23/04/2025,18:00:57,8674886293973,0x57d3,GTERI,0x09fe3fbf,802003,0x0902,0x0915,0,11404,0001,-,01,00,21,12,-,-,01,0.0,010a,0x024a,-23.329979,-51.177734,07e90417150038,0724,0006,c4a7,07a7140c,0x0.1,0x20.4,0x0:00:00,0x0:00:00,-,-, -, -, 2025-04-23 21:00:56
24/04/2025,07:52:20,23/04/2025,18:01:12,8674886293973,0x57d4,GTERI,0x09fe3fbf,802003,0x0902,0x0915,0,11454,0001,-,01,00,21,12,-,-,01,0.0,010a,0x024a,-23.329979,-51.177734,07e9041715010b,0724,0006,c4a7,07a7140c,0x0.1,0x20.4,0x0:00:00,0x0:00:00,-,-, -, -, 2025-04-23 21:01:11
24/04/2025,07:52:20,23/04/2025,18:01:27,8674886293973,0x57d5,GTERI,0x09fe3fbf,802003,0x0902,0x0915,0,11465,0001,-,01,00,21,12,-,-,01,0.0,010a,0x024a,-23.329979,-51.177734,07e9041715011a,0724,0006,c4a7,07a7140c,0x0.1,0x20.4,0x0:00:00,0x0:00:00,-,-, -, -, 2025-04-23 21:01:26
24/04/2025,07:52:21,23/04/2025,18:01:42,8674886293973,0x57d6,GTERI,0x09fe3fbf,802003,0x0902,0x0915,0,11467,0001,-,01,00,21,12,-,-,01,0.0,010a,0x024a,-23.329979,-51.177734,07e90417150129,0724,0006,c4a7,07a7140c,0x0.1,0x20.4,0x0:00:00,0x0:00:00,-,-, -, -, 2025-04-23 21:01:41
24/04/2025,07:52:21,23/04/2025,18:01:57,8674886293973,0x57d7,GTERI,0x09fe3fbf,802003,0x0902,0x0915,0,11467,0001,-,01,00,21,12,-,-,01,0.0,010a,0x024a,-23.329979,-51.177734,07e90417150138,0724,0006,c4a7,07a7140c,0x0.1,0x20.4,0x0:00:00,0x0:00:00,-,-, -, -, 2025-04-23 21:01:56
24/04/2025,07:52:22,23/04/2025,18:02:12,8674886293973,0x57d8,GTERI,0x09fe3fbf,802003,0x0902,0x0915,0,11467,0001,-,01,00,21,12,-,-,01,0.0,010a,0x024a,-23.329979,-51.177734,07e9041715020b,0724,0006,c4a7,07a7140c,0x0.1,0x20.4,0x0:00:00,0x0:00:00,-,-, -, -, 2025-04-23 21:02:11
24/04/2025,07:52:22,23/04/2025,18:02:27,8674886293973,0x57d9,GTERI,0x09fe3fbf,802003,0x0902,0x0915,0,11467,0001,-,01,00,21,12,-,-,01,0.0,010a,0x024a,-23.329979,-51.177734,07e9041715021a,0724,0006,c4a7,07a7140c,0x0.1,0x20.4,0x0:00:00,0x0:00:00,-,-, -, -, 2025-04-23 21:02:26
24/04/2025,07:52:23,23/04/2025,18:02:42,8674886293973,0x57da,GTERI,0x09fe3fbf,802003,0x0902,0x0915,0,11380,0001,-,01,00,22,12,-,-,01,0.0,010a,0x024a,-23.329979,-51.177734,07e90417150229,0724,0006,c4a7,07a7140c,0x0.1,0x20.4,0x0:00:00,0x0:00:00,-,-, -, -, 2025-04-23 21:02:41
24/04/2025,07:52:23,23/04/2025,18:02:57,8674886293973,0x57db,GTERI,0x09fe3fbf,802003,0x0902,0x0915,0,11478,0001,-,01,00,22,12,-,-,01,0.0,010a,0x024a,-23.329979,-51.177734,07e90417150238,0724,0006,c4a7,07a7140c,0x0.1,0x20.4,0x0:00:00,0x0:00:00,-,-, -, -, 2025-04-23 21:02:56
24/04/2025,07:52:24,23/04/2025,18:03:12,8674886293973,0x57dd,GTERI,0x09fe3fbf,802003,0x0902,0x0915,0,11478,0001,-,01,00,21,12,-,-,01,0.0,010a,0x024a,-23.329979,-51.177734,07e9041715030b,0724,0006,c4a7,07a7140c,0x0.1,0x20.4,0x0:00:00,0x0:00:00,-,-, -, -, 2025-04-23 21:03:11
24/04/2025,07:52:24,23/04/2025,18:03:27,8674886293973,0x57df,GTERI,0x09fe3fbf,802003,0x0902,0x0915,0,11479,0001,-,01,00,21,12,-,-,01,0.0,010a,0x024a,-23.329979,-51.177734,07e9041715031a,0724,0006,c4a7,07a7140c,0x0.1,0x20.4,0x0:00:00,0x0:00:00,-,-, -, -, 2025-04-23 21:03:26
24/04/2025,07:52:25,23/04/2025,18:03:42,8674886293973,0x57e0,GTERI,0x09fe3fbf,802003,0x0902,0x0915,0,11479,0001,-,01,00,21,12,-,-,01,0.0,010a,0x024a,-23.329979,-51.177734,07e90417150329,0724,0006,c4a7,07a7140c,0x0.1,0x20.4,0x0:00:00,0x0:00:00,-,-, -, -, 2025-04-23 21:03:41
24/04/2025,07:52:25,23/04/2025,18:03:57,8674886293973,0x57e1,GTERI,0x09fe3fbf,802003,0x0902,0x0915,0,11479,0001,-,01,00,21,12,-,-,01,0.0,010a,0x024a,-23.329979,-51.177734,07e90417150338,0724,0006,c4a7,07a7140c,0x0.1,0x20.4,0x0:00:00,0x0:00:00,-,-, -, -, 2025-04-23 21:03:56
24/04/2025,07:52:26,23/04/2025,18:04:12,8674886293973,0x57e2,GTERI,0x09fe3fbf,802003,0x0902,0x0915,0,11479,0001,-,01,00,21,12,-,-,01,0.0,010a,0x024a,-23.329979,-51.177734,07e9041715040b,0724,0006,c4a7,07a71434,0x0.1,0x20.4,0x0:00:00,0x0:00:00,-,-, -, -, 2025-04-23 21:04:11
24/04/2025,07:52:26,23/04/2025,18:04:27,8674886293973,0x57e3,GTERI,0x09fe3fbf,802003,0x0902,0x0915,0,11480,0001,-,01,00,21,12,-,-,01,0.0,010a,0x024a,-23.329979,-51.177734,07e9041715041a,0724,0006,c4a7,07a7140c,0x0.1,0x20.4,0x0:00:00,0x0:00:00,-,-, -, -, 2025-04-23 21:04:26
24/04/2025,07:52:27,23/04/2025,18:04:42,8674886293973,0x57e4,GTERI,0x09fe3fbf,802003,0x0902,0x0915,0,11480,0001,-,01,00,21,12,-,-,01,0.0,010a,0x024a,-23.329979,-51.177734,07e90417150429,0724,0006,c4a7,07a7140c,0x0.1,0x20.4,0x0:00:00,0x0:00:00,-,-, -, -, 2025-04-23 21:04:41
24/04/2025,07:52:27,23/04/2025,18:04:57,8674886293973,0x57e5,GTERI,0x09fe3fbf,802003,0x0902,0x0915,0,11480,0001,-,01,00,22,12,-,-,01,0.0,010a,0x024a,-23.329979,-51.177734,07e90417150438,0724,0006,c4a7,07a7140c,0x0.1,0x20.4,0x0:00:00,0x0:00:00,-,-, -, -, 2025-04-23 21:04:56
24/04/2025,07:52:28,23/04/2025,18:05:12,8674886293973,0x57e6,GTERI,0x09fe3fbf,802003,0x0902,0x0915,0,11480,0001,-,01,00,22,12,-,-,01,0.0,010a,0x024a,-23.329979,-51.177734,07e9041715050b,0724,0006,c4a7,07a7140c,0x0.1,0x20.4,0x0:00:00,0x0:00:00,-,-, -, -, 2025-04-23 21:05:11
24/04/2025,07:52:28,23/04/2025,18:05:27,8674886293973,0x57e7,GTERI,0x09fe3fbf,802003,0x0902,0x0915,0,11480,0001,-,01,00,21,12,-,-,01,0.0,010a,0x024a,-23.329979,-51.177734,07e9041715051a,0724,0006,c4a7,07a7140c,0x0.1,0x20.4,0x0:00:00,0x0:00:00,-,-, -, -, 2025-04-23 21:05:26
24/04/2025,07:52:29,23/04/2025,18:05:42,8674886293973,0x57e8,GTERI,0x09fe3fbf,802003,0x0902,0x0915,0,11444,0001,-,01,00,21,12,-,-,01,0.0,010a,0x024a,-23.329979,-51.177734,07e90417150529,0724,0006,c4a7,07a7140c,0x0.1,0x20.4,0x0:00:00,0x0:00:00,-,-, -, -, 2025-04-23 21:05:41
24/04/2025,07:52:29,23/04/2025,18:05:57,8674886293973,0x57e9,GTERI,0x09fe3fbf,802003,0x0902,0x0915,0,11444,0001,-,01,00,21,12,-,-,01,0.0,010a,0x024a,-23.329979,-51.177734,07e90417150538,0724,0006,c4a7,07a7140c,0x0.1,0x20.4,0x0:00:00,0x0:00:00,-,-, -, -, 2025-04-23 21:05:56
24/04/2025,07:52:30,23/04/2025,18:06:12,8674886293973,0x57ea,GTERI,0x09fe3fbf,802003,0x0902,0x0915,0,11519,0001,-,01,00,21,12,-,-,01,0.0,010a,0x024a,-23.329979,-51.177734,07e9041715060b,0724,0006,c4a7,07a7140c,0x0.1,0x20.4,0x0:00:00,0x0:00:00,-,-, -, -, 2025-04-23 21:06:11
24/04/2025,07:52:30,23/04/2025,18:06:27,8674886293973,0x57eb,GTERI,0x09fe3fbf,802003,0x0902,0x0915,0,11458,0001,-,01,00,21,12,-,-,01,0.0,010a,0x024a,-23.329979,-51.177734,07e9041715061a,0724,0006,c4a7,07a7140c,0x0.1,0x20.4,0x0:00:00,0x0:00:00,-,-, -, -, 2025-04-23 21:06:26
24/04/2025,07:52:31,23/04/2025,18:06:42,8674886293973,0x57ec,GTERI,0x09fe3fbf,802003,0x0902,0x0915,0,11512,0001,-,01,00,21,12,-,-,01,0.0,010a,0x024a,-23.329979,-51.177734,07e90417150629,0724,0006,c4a7,07a7140c,0x0.1,0x20.4,0x0:00:00,0x0:00:00,-,-, -, -, 2025-04-23 21:06:41
24/04/2025,07:52:31,23/04/2025,18:06:57,8674886293973,0x57ed,GTERI,0x09fe3fbf,802003,0x0902,0x0915,0,11457,0001,-,01,00,21,12,-,-,01,0.0,010a,0x024a,-23.329979,-51.177734,07e90417150638,0724,0006,c4a7,07a7140c,0x0.1,0x20.4,0x0:00:00,0x0:00:00,-,-, -, -, 2025-04-23 21:06:56
24/04/2025,07:52:32,23/04/2025,18:07:12,8674886293973,0x57ee,GTERI,0x09fe3fbf,802003,0x0902,0x0915,0,11457,0001,-,01,00,22,12,-,-,01,0.0,010a,0x024a,-23.329979,-51.177734,07e9041715070b,0724,0006,c4a7,07a7140c,0x0.1,0x20.4,0x0:00:00,0x0:00:00,-,-, -, -, 2025-04-23 21:07:11
24/04/2025,07:52:32,23/04/2025,18:07:27,8674886293973,0x57ef,GTERI,0x09fe3fbf,802003,0x0902,0x0915,0,11457,0001,-,01,00,22,12,-,-,01,0.0,010a,0x024a,-23.329979,-51.177734,07e9041715071a,0724,0006,c4a7,07a7140c,0x0.1,0x20.4,0x0:00:00,0x0:00:00,-,-, -, -, 2025-04-23 21:07:26
24/04/2025,07:52:33,23/04/2025,18:07:42,8674886293973,0x57f0,GTERI,0x09fe3fbf,802003,0x0902,0x0915,0,11515,0001,-,01,00,22,12,-,-,01,0.0,010a,0x024a,-23.329979,-51.177734,07e90417150729,0724,0006,c4a7,07a7140c,0x0.1,0x20.4,0x0:00:00,0x0:00:00,-,-, -, -, 2025-04-23 21:07:41
24/04/2025,07:52:33,23/04/2025,18:07:57,8674886293973,0x57f1,GTERI,0x09fe3fbf,802003,0x0902,0x0915,0,11510,0001,-,01,00,22,12,-,-,01,0.0,010a,0x024a,-23.329979,-51.177734,07e90417150738,0724,0006,c4a7,07a7140c,0x0.1,0x20.4,0x0:00:00,0x0:00:00,-,-, -, -, 2025-04-23 21:07:56
24/04/2025,07:52:34,23/04/2025,18:08:12,8674886293973,0x57f3,GTERI,0x09fe3fbf,802003,0x0902,0x0915,0,11510,0001,-,01,00,21,12,-,-,01,0.0,010a,0x024a,-23.329979,-51.177734,07e9041715080b,0724,0006,c4a7,07a7140c,0x0.1,0x20.4,0x0:00:00,0x0:00:00,-,-, -, -, 2025-04-23 21:08:11
24/04/2025,07:52:34,23/04/2025,18:08:27,8674886293973,0x57f5,GTERI,0x09fe3fbf,802003,0x0902,0x0915,0,11456,0001,-,01,00,21,12,-,-,01,0.0,010a,0x024a,-23.329979,-51.177734,07e9041715081a,0724,0006,c4a7,07a7140c,0x0.1,0x20.4,0x0:00:00,0x0:00:00,-,-, -, -, 2025-04-23 21:08:26
24/04/2025,07:52:35,23/04/2025,18:08:42,8674886293973,0x57f6,GTERI,0x09fe3fbf,802003,0x0902,0x0915,0,11465,0001,-,01,00,21,12,-,-,01,0.0,010a,0x024a,-23.329979,-51.177734,07e90417150829,0724,0006,c4a7,07a7140c,0x0.1,0x20.4,0x0:00:00,0x0:00:00,-,-, -, -, 2025-04-23 21:08:41
24/04/2025,07:52:35,23/04/2025,18:08:57,8674886293973,0x57f7,GTERI,0x09fe3fbf,802003,0x0902,0x0915,0,11465,0001,-,01,00,21,12,-,-,01,0.0,010a,0x024a,-23.329979,-51.177734,07e90417150838,0724,0006,c4a7,07a7140c,0x0.1,0x20.4,0x0:00:00,0x0:00:00,-,-, -, -, 2025-04-23 21:08:56
24/04/2025,07:52:36,23/04/2025,18:09:12,8674886293973,0x57f8,GTERI,0x09fe3fbf,802003,0x0902,0x0915,0,11436,0001,-,01,00,21,12,-,-,01,0.0,010a,0x024a,-23.329979,-51.177734,07e9041715090b,0724,0006,c4a7,07a71434,0x0.1,0x20.4,0x0:00:00,0x0:00:00,-,-, -, -, 2025-04-23 21:09:11
24/04/2025,07:52:36,23/04/2025,18:09:27,8674886293973,0x57f9,GTERI,0x09fe3fbf,802003,0x0902,0x0915,0,11514,0001,-,01,00,21,12,-,-,01,0.0,010a,0x024a,-23.329979,-51.177734,07e9041715091a,0724,0006,c4a7,07a7140c,0x0.1,0x20.4,0x0:00:00,0x0:00:00,-,-, -, -, 2025-04-23 21:09:26
24/04/2025,07:52:37,23/04/2025,18:09:42,8674886293973,0x57fa,GTERI,0x09fe3fbf,802003,0x0902,0x0915,0,11472,0001,-,01,00,21,12,-,-,01,0.0,010a,0x024a,-23.329979,-51.177734,07e90417150929,0724,0006,c4a7,07a7140c,0x0.1,0x20.4,0x0:00:00,0x0:00:00,-,-, -, -, 2025-04-23 21:09:41
24/04/2025,07:52:37,23/04/2025,18:09:57,8674886293973,0x57fb,GTERI,0x09fe3fbf,802003,0x0902,0x0915,0,11473,0001,-,01,00,21,12,-,-,01,0.0,010a,0x024a,-23.329979,-51.177734,07e90417150938,0724,0006,c4a7,07a7140c,0x0.1,0x20.4,0x0:00:00,0x0:00:00,-,-, -, -, 2025-04-23 21:09:56
24/04/2025,07:52:38,23/04/2025,18:10:12,8674886293973,0x57fc,GTERI,0x09fe3fbf,802003,0x0902,0x0915,0,11501,0001,-,01,00,21,12,-,-,01,0.0,010a,0x024a,-23.329979,-51.177734,07e90417150a0b,0724,0006,c4a7,07a7140c,0x0.1,0x20.4,0x0:00:00,0x0:00:00,-,-, -, -, 2025-04-23 21:10:11
24/04/2025,07:52:38,23/04/2025,18:10:27,8674886293973,0x57fd,GTERI,0x09fe3fbf,802003,0x0902,0x0915,0,11472,0001,-,01,00,21,12,-,-,01,0.0,010a,0x024a,-23.329979,-51.177734,07e90417150a1a,0724,0006,c4a7,07a7140c,0x0.1,0x20.4,0x0:00:00,0x0:00:00,-,-, -, -, 2025-04-23 21:10:26
24/04/2025,07:52:39,23/04/2025,18:10:42,8674886293973,0x57fe,GTERI,0x09fe3fbf,802003,0x0902,0x0915,0,11477,0001,-,01,00,21,12,-,-,01,0.0,010a,0x024a,-23.329979,-51.177734,07e90417150a29,0724,0006,c4a7,07a7140c,0x0.1,0x20.4,0x0:00:00,0x0:00:00,-,-, -, -, 2025-04-23 21:10:41
24/04/2025,07:52:39,23/04/2025,18:10:57,8674886293973,0x57ff,GTERI,0x09fe3fbf,802003,0x0902,0x0915,0,11500,0001,-,01,00,21,12,-,-,01,0.0,010a,0x024a,-23.329979,-51.177734,07e90417150a38,0724,0006,c4a7,07a7140c,0x0.1,0x20.4,0x0:00:00,0x0:00:00,-,-, -, -, 2025-04-23 21:10:56
24/04/2025,07:52:40,23/04/2025,18:11:12,8674886293973,0x5800,GTERI,0x09fe3fbf,802003,0x0902,0x0915,0,11490,0001,-,01,00,21,12,-,-,01,0.0,010a,0x024a,-23.329979,-51.177734,07e90417150b0b,0724,0006,c4a7,07a7140c,0x0.1,0x20.4,0x0:00:00,0x0:00:00,-,-, -, -, 2025-04-23 21:11:11
