Data Inclusão,Hora Inclusão,Data Evento,Hora Evento,IMEI,Sequência,Tipo Mensagem,Máscara,Tipo Dispositivo,Versão Protocolo,Versão Firmware,Bateria Interna,Alimentação Externa,Analog Input Mode,Analog Input1 Voltage,Digital Input Status,Digital Output Status,Motion Status,Satélites,Duração da Ignição,Precisão GNSS,Velocidade,Azimuth,Altitude,Latitude,Longitude,GNSS UTC Time,MCC,MNC,LAC,Cell ID,Hodômetro Atual,Hodômetro Total,Horímetro Atual,Horímetro Total,Motivo Power Off,Motivo Power On, Diferença dos tempos a partir do IGN, Diferença de tempos a partir do IGF, Time fix,,
27/03/2025,08:27:25,26/03/2025,00:41:00,8674886293973,0x2248,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,-,0,-,1,0,21,0a,-,1,0,00ee,0x0239,-23.323102,-51.189739,07e9031a03283a,724,6,c4a7,07a6b033,0x000000,0x0000000208,0x000000,0x000000000000,-,-, 5.0, -, 2025-03-26 03:40:58 ,,
27/03/2025,08:35:22,26/03/2025,02:02:03,8674886293973,0x261c,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,-,0,-,1,0,21,0c,-,1,0,0,0x0280,-23.323159,-51.189635,07e9031a050201,724,6,c4a7,07a6b033,0x000000,0x0000000208,0x000000,0x000000000000,-,-, 5.0, -, 2025-03-26 05:02:01 ,,
27/03/2025,08:16:56,25/03/2025,22:57:05,8674886293973,0x1d40,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,99,-,0,-,1,0,21,0a,-,1,0,00ee,0x023f,-23.322999,-51.189822,07e9031a013902,724,6,c4a7,07a6b015,0x000000,0x0000000208,0x000000,0x000000000000,-,-, 5.0, -, 2025-03-26 01:57:02 ,,
27/03/2025,08:24:53,26/03/2025,00:15:58,8674886293973,0x2112,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,-,0,-,1,0,21,0c,-,1,0,00ee,0x0239,-23.323102,-51.189739,07e9031a030f37,724,6,c4a7,07a6b033,0x000000,0x0000000208,0x000000,0x000000000000,-,-, 5.0, -, 2025-03-26 03:15:55 ,,
27/03/2025,09:30:08,26/03/2025,20:00:56,8674886293973,0x400a,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,0,-,0,-,0,0,41,0c,-,3,0,0,0x02b1,-23.330059,-51.177911,07e9031a170036,724,6,c4a7,07a71434,0x000000,0x0000000407,0x000000,0x000000000000,-,-, -, -, 2025-03-26 23:00:54 ,,
27/03/2025,08:33:32,26/03/2025,01:43:48,8674886293973,0x253b,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,-,0,-,1,0,21,0c,-,1,0,0,0x0280,-23.323159,-51.189635,07e9031a042b2e,724,6,c4a7,07a6b033,0x000000,0x0000000208,0x000000,0x000000000000,-,-, 5.0, -, 2025-03-26 04:43:46 ,,
27/03/2025,08:16:58,25/03/2025,22:57:25,8674886293973,0x1d44,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,99,-,0,-,1,0,21,0c,-,1,0,00ee,0x023f,-23.322999,-51.189822,07e9031a013916,724,6,c4a7,07a6b015,0x000000,0x0000000208,0x000000,0x000000000000,-,-, 5.0, -, 2025-03-26 01:57:22 ,,
27/03/2025,08:16:59,25/03/2025,22:57:30,8674886293973,0x1d45,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,99,-,0,-,1,0,21,0b,-,1,0,00ee,0x023f,-23.322999,-51.189822,07e9031a01391b,724,6,c4a7,07a6b015,0x000000,0x0000000208,0x000000,0x000000000000,-,-, 5.0, -, 2025-03-26 01:57:27 ,,
27/03/2025,08:17:00,25/03/2025,22:57:35,8674886293973,0x1d46,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,99,-,0,-,1,0,21,0a,-,1,0,00ee,0x023f,-23.322999,-51.189822,07e9031a013920,724,6,c4a7,07a6b015,0x000000,0x0000000208,0x000000,0x000000000000,-,-, 5.0, -, 2025-03-26 01:57:32 ,,
27/03/2025,08:22:42,25/03/2025,23:54:18,8674886293973,0x2003,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,-,0,-,1,0,21,0c,-,1,0,00ee,0x0239,-23.323102,-51.189739,07e9031a02360f,724,6,c4a7,07a6b00b,0x000000,0x0000000208,0x000000,0x000000000000,-,-, 5.0, -, 2025-03-26 02:54:15 ,,
27/03/2025,08:17:01,25/03/2025,22:57:45,8674886293973,0x1d48,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,99,-,0,-,1,0,21,0c,-,1,0,00ee,0x023f,-23.322999,-51.189822,07e9031a01392b,724,6,c4a7,07a6b015,0x000000,0x0000000208,0x000000,0x000000000000,-,-, 5.0, -, 2025-03-26 01:57:43 ,,
27/03/2025,08:17:01,25/03/2025,22:57:50,8674886293973,0x1d49,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,99,-,0,-,1,0,21,9,-,1,0,00ee,0x023f,-23.322999,-51.189822,07e9031a013930,724,6,c4a7,07a6b015,0x000000,0x0000000208,0x000000,0x000000000000,-,-, 5.0, -, 2025-03-26 01:57:48 ,,
27/03/2025,08:17:02,25/03/2025,22:57:55,8674886293973,0x1d4a,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,99,-,0,-,1,0,21,0c,-,1,0,00ee,0x023f,-23.322999,-51.189822,07e9031a013935,724,6,c4a7,07a6b015,0x000000,0x0000000208,0x000000,0x000000000000,-,-, 5.0, -, 2025-03-26 01:57:53 ,,
27/03/2025,09:18:31,26/03/2025,12:37:43,8674886293973,0x39f5,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,-,0,-,1,0,21,9,-,1,0,0,0x0242,-23.329851,-51.177658,07e9031a0f2529,724,6,c4a7,07a71434,0x000000,0x0000000306,0x000000,0x000000000000,-,-, 5.0, -, 2025-03-26 15:37:41 ,,
27/03/2025,09:13:27,26/03/2025,10:22:03,8674886293973,0x378e,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,-,0,-,1,0,22,4,-,4,0,00d0,0x0287,-23.330104,-51.179487,07e9031a0d1601,724,6,c4a7,07a71434,0x000001,0x0000000300,0x000000,0x000000000000,-,-, 5.0, -, 2025-03-26 13:22:01 ,,
27/03/2025,08:17:03,25/03/2025,22:58:10,8674886293973,0x1d4d,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,99,-,0,-,1,0,21,0c,-,1,0,00ee,0x023f,-23.322999,-51.189822,07e9031a013a08,724,6,c4a7,07a6b015,0x000000,0x0000000208,0x000000,0x000000000000,-,-, 5.0, -, 2025-03-26 01:58:08 ,,
27/03/2025,08:17:04,25/03/2025,22:58:15,8674886293973,0x1d4e,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,99,-,0,-,1,0,21,0c,-,1,0,00ee,0x023f,-23.322999,-51.189822,07e9031a013a0d,724,6,c4a7,07a6b015,0x000000,0x0000000208,0x000000,0x000000000000,-,-, 5.0, -, 2025-03-26 01:58:13 ,,
27/03/2025,09:11:54,26/03/2025,09:56:39,8674886293973,0x36cc,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,-,0,-,0,0,41,7,-,1,0,0,0x023d,-23.329863,-51.177513,07e9031a0c3825,724,6,c4a7,07a7140c,0x000000,0x0000000208,0x000000,0x000000000000,-,-, -, -, 2025-03-26 12:56:37 ,,
27/03/2025,08:17:05,25/03/2025,22:58:25,8674886293973,0x1d50,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,99,-,0,-,1,0,21,0b,-,1,0,00ee,0x023f,-23.322999,-51.189822,07e9031a013a17,724,6,c4a7,07a6b015,0x000000,0x0000000208,0x000000,0x000000000000,-,-, 5.0, -, 2025-03-26 01:58:23 ,,
27/03/2025,08:17:05,25/03/2025,22:58:30,8674886293973,0x1d51,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,99,-,0,-,1,0,21,0c,-,1,0,00ee,0x023f,-23.322999,-51.189822,07e9031a013a1c,724,6,c4a7,07a6b015,0x000000,0x0000000208,0x000000,0x000000000000,-,-, 5.0, -, 2025-03-26 01:58:28 ,,
27/03/2025,08:17:06,25/03/2025,22:58:35,8674886293973,0x1d52,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,99,-,0,-,1,0,21,9,-,1,0,00ee,0x023f,-23.322999,-51.189822,07e9031a013a21,724,6,c4a7,07a6b015,0x000000,0x0000000208,0x000000,0x000000000000,-,-, 5.0, -, 2025-03-26 01:58:33 ,,
27/03/2025,08:36:52,26/03/2025,02:16:53,8674886293973,0x26d4,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,-,0,-,1,0,21,0c,-,1,0,0,0x0280,-23.323159,-51.189635,07e9031a051033,724,6,c4a7,07a6b033,0x000000,0x0000000208,0x000000,0x000000000000,-,-, 5.0, -, 2025-03-26 05:16:51 ,,
27/03/2025,08:45:34,26/03/2025,03:46:32,8674886293973,0x2b02,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,-,0,-,1,0,21,0c,-,1,0,53,0x0258,-23.323113,-51.189557,07e9031a062e1d,724,6,c4a7,07a6b033,0x000000,0x0000000208,0x000000,0x000000000000,-,-, 5.0, -, 2025-03-26 06:46:29 ,,
27/03/2025,08:17:07,25/03/2025,22:58:50,8674886293973,0x1d55,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,99,-,0,-,1,0,21,0c,-,1,0,00ee,0x023f,-23.322999,-51.189822,07e9031a013a30,724,6,c4a7,07a6b015,0x000000,0x0000000208,0x000000,0x000000000000,-,-, 5.0, -, 2025-03-26 01:58:48 ,,
27/03/2025,08:17:08,25/03/2025,22:58:55,8674886293973,0x1d56,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,99,-,0,-,1,0,21,0c,-,1,0,00ee,0x023f,-23.322999,-51.189822,07e9031a013a35,724,6,c4a7,07a6b015,0x000000,0x0000000208,0x000000,0x000000000000,-,-, 5.0, -, 2025-03-26 01:58:53 ,,
27/03/2025,08:42:13,26/03/2025,03:11:34,8674886293973,0x2966,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,-,0,-,1,0,21,0c,-,1,0,0,0x0251,-23.32308,-51.189627,07e9031a060b21,724,6,c4a7,07a6b033,0x000000,0x0000000208,0x000000,0x000000000000,-,-, 5.0, -, 2025-03-26 06:11:33 ,,
27/03/2025,08:17:09,25/03/2025,22:59:05,8674886293973,0x1d58,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,-,0,-,1,0,21,0b,-,1,0,00ee,0x023f,-23.322999,-51.189822,07e9031a013b03,724,6,c4a7,07a6b015,0x000000,0x0000000208,0x000000,0x000000000000,-,-, 5.0, -, 2025-03-26 01:59:03 ,,
27/03/2025,08:17:09,25/03/2025,22:59:10,8674886293973,0x1d59,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,-,0,-,1,0,21,0b,-,1,0,00ee,0x023f,-23.322999,-51.189822,07e9031a013b08,724,6,c4a7,07a6b015,0x000000,0x0000000208,0x000000,0x000000000000,-,-, 5.0, -, 2025-03-26 01:59:08 ,,
27/03/2025,08:17:10,25/03/2025,22:59:15,8674886293973,0x1d5a,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,-,0,-,1,0,21,0b,-,1,0,00ee,0x023f,-23.322999,-51.189822,07e9031a013b0d,724,6,c4a7,07a6b015,0x000000,0x0000000208,0x000000,0x000000000000,-,-, 5.0, -, 2025-03-26 01:59:13 ,,
27/03/2025,09:14:09,26/03/2025,11:57:17,8674886293973,0x3804,GTMPN,0x00fe7fbf,802003,0x0902,0x0915,100,11505,0,0,1,0,21,0,-,0,0,0,0x0000,0,0,0,724,6,c4a7,07a71434,0x000000,0x0000000306,0x000000,0x000000000000,-,-,-,-, None,,
27/03/2025,08:17:11,25/03/2025,22:59:25,8674886293973,0x1d5c,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,-,0,-,1,0,21,0c,-,1,0,00ee,0x023f,-23.322999,-51.189822,07e9031a013b17,724,6,c4a7,07a6b015,0x000000,0x0000000208,0x000000,0x000000000000,-,-, 5.0, -, 2025-03-26 01:59:23 ,,
27/03/2025,08:43:57,26/03/2025,03:28:44,8674886293973,0x2a3a,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,-,0,-,1,0,21,0c,-,1,0,0,0x0251,-23.32308,-51.189627,07e9031a061c2b,724,6,c4a7,07a6b033,0x000000,0x0000000208,0x000000,0x000000000000,-,-, 5.0, -, 2025-03-26 06:28:43 ,,
27/03/2025,08:17:12,25/03/2025,22:59:35,8674886293973,0x1d5e,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,-,0,-,1,0,21,0a,-,1,0,00ee,0x023f,-23.322999,-51.189822,07e9031a013b21,724,6,c4a7,07a6b015,0x000000,0x0000000208,0x000000,0x000000000000,-,-, 5.0, -, 2025-03-26 01:59:33 ,,
27/03/2025,08:39:20,26/03/2025,02:43:05,8674886293973,0x2805,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,-,0,-,1,0,21,0b,-,1,0,0,0x0251,-23.32308,-51.189627,07e9031a052b03,724,6,c4a7,07a6b033,0x000000,0x0000000208,0x000000,0x000000000000,-,-, 5.0, -, 2025-03-26 05:43:03 ,,
27/03/2025,09:25:21,26/03/2025,18:24:21,8674886293973,0x3dac,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,84,-,0,-,0,0,11,8,-,1,0,0,0x025c,-23.330103,-51.177779,07e9031a151813,724,6,c4a7,07a71434,0x000000,0x0000000407,0x000000,0x000000000000,-,-, -, 10.0, 2025-03-26 21:24:19 ,,
27/03/2025,08:17:13,25/03/2025,22:59:50,8674886293973,0x1d61,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,-,0,-,1,0,21,0c,-,1,0,00ee,0x023f,-23.322999,-51.189822,07e9031a013b30,724,6,c4a7,07a6b015,0x000000,0x0000000208,0x000000,0x000000000000,-,-, 5.0, -, 2025-03-26 01:59:48 ,,
27/03/2025,09:27:34,26/03/2025,19:10:15,8674886293973,0x3ec5,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,34,-,0,-,0,0,41,0c,-,3,0,0,0x02b1,-23.330059,-51.177911,07e9031a160a0d,724,6,c4a7,07a71434,0x000000,0x0000000407,0x000000,0x000000000000,-,-, -, -, 2025-03-26 22:10:13 ,,
27/03/2025,08:47:13,26/03/2025,04:02:56,8674886293973,0x2bcd,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,-,0,-,1,0,21,0c,-,1,0,53,0x0258,-23.323113,-51.189557,07e9031a070236,724,6,c4a7,07a6b033,0x000000,0x0000000208,0x000000,0x000000000000,-,-, 5.0, -, 2025-03-26 07:02:54 ,,
27/03/2025,08:17:15,25/03/2025,23:00:05,8674886293973,0x1d64,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,-,0,-,1,0,21,0c,-,1,0,00ee,0x023f,-23.322999,-51.189822,07e9031a020003,724,6,c4a7,07a6b015,0x000000,0x0000000208,0x000000,0x000000000000,-,-, 5.0, -, 2025-03-26 02:00:03 ,,
27/03/2025,08:17:15,25/03/2025,23:00:10,8674886293973,0x1d65,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,-,0,-,1,0,21,0a,-,1,0,00ee,0x023f,-23.322999,-51.189822,07e9031a020008,724,6,c4a7,07a6b015,0x000000,0x0000000208,0x000000,0x000000000000,-,-, 5.0, -, 2025-03-26 02:00:08 ,,
27/03/2025,08:17:16,25/03/2025,23:00:15,8674886293973,0x1d66,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,-,0,-,1,0,21,0c,-,1,0,00ee,0x023f,-23.322999,-51.189822,07e9031a02000d,724,6,c4a7,07a6b015,0x000000,0x0000000208,0x000000,0x000000000000,-,-, 5.0, -, 2025-03-26 02:00:13 ,,
27/03/2025,08:46:40,26/03/2025,03:57:26,8674886293973,0x2b89,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,-,0,-,1,0,21,0a,-,1,0,53,0x0258,-23.323113,-51.189557,07e9031a063918,724,6,c4a7,07a6b033,0x000000,0x0000000208,0x000000,0x000000000000,-,-, 5.0, -, 2025-03-26 06:57:24 ,,
27/03/2025,08:17:17,25/03/2025,23:00:25,8674886293973,0x1d68,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,-,0,-,1,0,21,0a,-,1,0,00ee,0x023f,-23.322999,-51.189822,07e9031a020017,724,6,c4a7,07a6b015,0x000000,0x0000000208,0x000000,0x000000000000,-,-, 5.0, -, 2025-03-26 02:00:23 ,,
27/03/2025,09:25:34,26/03/2025,18:28:21,8674886293973,0x3dc5,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,80,-,0,-,0,0,11,6,-,1,0,0,0x025c,-23.330103,-51.177779,07e9031a151c13,724,6,c4a7,07a71434,0x000000,0x0000000407,0x000000,0x000000000000,-,-, -, 10.0, 2025-03-26 21:28:19 ,,
27/03/2025,08:17:18,25/03/2025,23:00:35,8674886293973,0x1d6a,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,-,0,-,1,0,21,0c,-,1,0,00ee,0x023f,-23.322999,-51.189822,07e9031a020021,724,6,c4a7,07a6b015,0x000000,0x0000000208,0x000000,0x000000000000,-,-, 5.0, -, 2025-03-26 02:00:33 ,,
27/03/2025,09:00:46,26/03/2025,06:20:22,8674886293973,0x324e,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,-,0,-,1,0,21,0b,-,1,0,0,0x0210,-23.323136,-51.189757,07e9031a091414,724,6,c4a7,07a6b033,0x000000,0x0000000208,0x000000,0x000000000000,-,-, 5.0, -, 2025-03-26 09:20:20 ,,
27/03/2025,08:17:19,25/03/2025,23:00:45,8674886293973,0x1d6c,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,-,0,-,1,0,21,0c,-,1,0,00ee,0x023f,-23.322999,-51.189822,07e9031a02002b,724,6,c4a7,07a6b015,0x000000,0x0000000208,0x000000,0x000000000000,-,-, 5.0, -, 2025-03-26 02:00:43 ,,
27/03/2025,09:30:40,,,,,GTBDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2025,09:24:52,,,,,GTBDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2025,09:19:46,26/03/2025,12:50:53,8674886293973,0x3a8f,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,-,0,-,1,0,21,7,-,1,0,0,0x0247,-23.329774,-51.17781,07e9031a0f3233,724,6,c4a7,07a71434,0x000000,0x0000000306,0x000000,0x000000000000,-,-, 5.0, -, 2025-03-26 15:50:51 ,,
27/03/2025,08:17:21,25/03/2025,23:01:05,8674886293973,0x1d71,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,-,0,-,1,0,21,0c,-,1,0,00ee,0x023f,-23.322999,-51.189822,07e9031a020102,724,6,c4a7,07a6b015,0x000000,0x0000000208,0x000000,0x000000000000,-,-, 5.0, -, 2025-03-26 02:01:02 ,,
27/03/2025,09:24:49,,,,,GTBDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2025,08:49:44,26/03/2025,04:27:51,8674886293973,0x2d02,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,-,0,-,1,0,21,0c,-,1,0,53,0x0258,-23.323113,-51.189557,07e9031a071b31,724,6,c4a7,07a6b033,0x000000,0x0000000208,0x000000,0x000000000000,-,-, 5.0, -, 2025-03-26 07:27:49 ,,
27/03/2025,09:20:07,26/03/2025,13:02:05,8674886293973,0x3abd,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,-,0,-,1,0,21,5,-,3,0,0,0x027c,-23.329548,-51.177808,07e9031a100203,724,6,c4a7,07a71434,0x000000,0x0000000306,0x000000,0x000000000000,-,-, 5.0, -, 2025-03-26 16:02:03 ,,
27/03/2025,08:17:23,25/03/2025,23:01:25,8674886293973,0x1d76,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,-,0,-,1,0,21,0a,-,1,0,00ee,0x023f,-23.322999,-51.189822,07e9031a020116,724,6,c4a7,07a6b015,0x000000,0x0000000208,0x000000,0x000000000000,-,-, 5.0, -, 2025-03-26 02:01:22 ,,
27/03/2025,08:17:23,25/03/2025,23:01:30,8674886293973,0x1d77,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,-,0,-,1,0,21,0b,-,1,0,00ee,0x023f,-23.322999,-51.189822,07e9031a02011b,724,6,c4a7,07a6b015,0x000000,0x0000000208,0x000000,0x000000000000,-,-, 5.0, -, 2025-03-26 02:01:27 ,,
27/03/2025,08:28:50,26/03/2025,00:55:06,8674886293973,0x22f6,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,-,0,-,1,0,21,0c,-,1,0,00ee,0x0239,-23.323102,-51.189739,07e9031a033704,724,6,c4a7,07a6b015,0x000000,0x0000000208,0x000000,0x000000000000,-,-, 5.0, -, 2025-03-26 03:55:04 ,,
27/03/2025,09:15:00,26/03/2025,12:06:14,8674886293973,0x386e,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,-,0,-,1,0,21,9,-,1,0,0,0x0248,-23.330067,-51.177323,07e9031a0f060b,724,6,c4a7,07a71434,0x000000,0x0000000306,0x000000,0x000000000000,-,-, 5.0, -, 2025-03-26 15:06:11 ,,
27/03/2025,09:30:32,26/03/2025,20:08:56,8674886293973,0x403e,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,0,-,0,-,0,0,41,0c,-,3,0,0,0x02b1,-23.330059,-51.177911,07e9031a170836,724,6,c4a7,07a71434,0x000000,0x0000000407,0x000000,0x000000000000,-,-, -, -, 2025-03-26 23:08:54 ,,
27/03/2025,08:17:25,25/03/2025,23:01:50,8674886293973,0x1d7b,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,-,0,-,1,0,21,0c,-,1,0,00ee,0x023f,-23.322999,-51.189822,07e9031a020130,724,6,c4a7,07a6b015,0x000000,0x0000000208,0x000000,0x000000000000,-,-, 5.0, -, 2025-03-26 02:01:48 ,,
27/03/2025,08:17:26,25/03/2025,23:01:55,8674886293973,0x1d7c,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,-,0,-,1,0,21,0c,-,1,0,00ee,0x023f,-23.322999,-51.189822,07e9031a020134,724,6,c4a7,07a6b015,0x000000,0x0000000208,0x000000,0x000000000000,-,-, 5.0, -, 2025-03-26 02:01:52 ,,
27/03/2025,09:12:02,26/03/2025,09:58:59,8674886293973,0x36db,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,-,0,-,0,0,41,0b,-,1,0,0,0x023d,-23.329863,-51.177513,07e9031a0c3a38,724,6,c4a7,07a7140c,0x000000,0x0000000208,0x000000,0x000000000000,-,-, -, -, 2025-03-26 12:58:56 ,,
27/03/2025,08:17:27,25/03/2025,23:02:05,8674886293973,0x1d7e,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,-,0,-,1,0,21,7,-,1,0,00ee,0x023f,-23.322999,-51.189822,07e9031a020203,724,6,c4a7,07a6b015,0x000000,0x0000000208,0x000000,0x000000000000,-,-, 5.0, -, 2025-03-26 02:02:03 ,,
27/03/2025,08:17:27,25/03/2025,23:02:10,8674886293973,0x1d7f,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,100,-,0,-,1,0,21,0a,-,1,0,00ee,0x023f,-23.322999,-51.189822,07e9031a020208,724,6,c4a7,07a6b015,0x000000,0x0000000208,0x000000,0x000000000000,-,-, 5.0, -, 2025-03-26 02:02:08 ,,
